method,url,files
GET,/admin/moderation,"C:/MyCode/Konnaxionv14/frontend/modules/admin/hooks/useModeration.ts"
GET,/api/admin/stats,"C:/MyCode/Konnaxionv14/frontend/modules/admin/hooks/useStats.ts"
GET,/api/home/categories/,"C:/MyCode/Konnaxionv14/frontend/app/ethikos/decide/public/page.tsx"
GET,/api/home/debatecategory/,"C:/MyCode/Konnaxionv14/frontend/modules/ethikos/decide/public/page.tsx"
GET,/api/home/debatetopic/,"C:/MyCode/Konnaxionv14/frontend/modules/ethikos/decide/public/page.tsx"
POST,/api/home/debatetopic/${topic.id}/vote,"C:/MyCode/Konnaxionv14/frontend/app/ethikos/decide/public/page.tsx"
POST,/api/home/publicvote/,"C:/MyCode/Konnaxionv14/frontend/modules/ethikos/decide/public/page.tsx"
GET,/api/home/responseformat/,"C:/MyCode/Konnaxionv14/frontend/modules/ethikos/decide/public/page.tsx"
GET,/api/polls/${id},"C:/MyCode/Konnaxionv14/frontend/modules/konsensus/hooks/usePoll.ts"
FETCH,/api/showcases,"C:/MyCode/Konnaxionv14/frontend/app/kreative/community-showcases/submit-to-showcase/page.tsx"
GET,/reports/${endpoint},"C:/MyCode/Konnaxionv14/frontend/modules/insights/hooks/useReport.ts"
GET,/search,"C:/MyCode/Konnaxionv14/frontend/modules/global/hooks/useGlobalSearch.ts"
GET,admin/audit,"C:/MyCode/Konnaxionv14/frontend/services/admin.ts"
GET,admin/audit/logs,"C:/MyCode/Konnaxionv14/frontend/services/audit.ts"
GET,admin/moderation,"C:/MyCode/Konnaxionv14/frontend/services/admin.ts"
POST,admin/moderation/${id},"C:/MyCode/Konnaxionv14/frontend/services/admin.ts"
GET,admin/roles,"C:/MyCode/Konnaxionv14/frontend/services/admin.ts"
PATCH,admin/roles/${id},"C:/MyCode/Konnaxionv14/frontend/services/admin.ts"
GET,decide/elite/ballots,"C:/MyCode/Konnaxionv14/frontend/services/decide.ts"
GET,decide/public/ballots,"C:/MyCode/Konnaxionv14/frontend/services/decide.ts"
POST,decide/public/ballots/${id}/vote,"C:/MyCode/Konnaxionv14/frontend/services/decide.ts"
GET,decide/results,"C:/MyCode/Konnaxionv14/frontend/services/decide.ts"
GET,deliberate/elite/topics,"C:/MyCode/Konnaxionv14/frontend/services/deliberate.ts"
POST,deliberate/elite/topics,"C:/MyCode/Konnaxionv14/frontend/services/deliberate.ts"
GET,deliberate/topics/${id},"C:/MyCode/Konnaxionv14/frontend/services/deliberate.ts"
GET,deliberate/topics/${id}/preview,"C:/MyCode/Konnaxionv14/frontend/services/deliberate.ts"
GET,impact/feedback,"C:/MyCode/Konnaxionv14/frontend/services/impact.ts"
POST,impact/feedback,"C:/MyCode/Konnaxionv14/frontend/services/impact.ts"
GET,impact/outcomes,"C:/MyCode/Konnaxionv14/frontend/services/impact.ts"
GET,impact/tracker,"C:/MyCode/Konnaxionv14/frontend/services/impact.ts"
PATCH,impact/tracker/${id},"C:/MyCode/Konnaxionv14/frontend/services/impact.ts"
GET,learn/changelog,"C:/MyCode/Konnaxionv14/frontend/services/learn.ts"
GET,learn/glossary,"C:/MyCode/Konnaxionv14/frontend/services/learn.ts"
GET,learn/guides,"C:/MyCode/Konnaxionv14/frontend/services/learn.ts"
GET,pulse/health,"C:/MyCode/Konnaxionv14/frontend/services/pulse.ts"
GET,pulse/live,"C:/MyCode/Konnaxionv14/frontend/services/pulse.ts"
GET,pulse/overview,"C:/MyCode/Konnaxionv14/frontend/services/pulse.ts"
GET,pulse/trends,"C:/MyCode/Konnaxionv14/frontend/services/pulse.ts"
GET,q,"C:/MyCode/Konnaxionv14/frontend/app/_api/search/route.ts | C:/MyCode/Konnaxionv14/frontend/modules/global/components/GlobalSearchBar.tsx | C:/MyCode/Konnaxionv14/frontend/modules/global/pages/Search.tsx"
GET,trust/badges,"C:/MyCode/Konnaxionv14/frontend/services/trust.ts"
POST,trust/credentials,"C:/MyCode/Konnaxionv14/frontend/services/trust.ts"
GET,trust/profile,"C:/MyCode/Konnaxionv14/frontend/services/trust.ts"