file,needs_client,has_use_client,action
instrumentation.ts,False,False,none
next.config.ts,False,False,none
playwright.config.ts,False,False,none
playwright.ct.config.ts,False,False,none
playwright.smoke.config.ts,False,False,none
.storybook\main.ts,False,False,none
.storybook\preview.ts,False,False,none
app\layout.tsx,False,False,none
app\page.tsx,False,False,none
components\CustomComment.tsx,False,True,none
components\PageContainer.tsx,False,True,none
components\TagsList.tsx,False,True,none
components\ThemeSwitcher.tsx,False,False,none
context\ThemeContext.tsx,True,True,none
hooks\useExpertiseTags.ts,False,True,none
hooks\usePageTitle.ts,True,True,none
hooks\useReputationEvents.ts,False,False,none
routes\index.ts,False,False,none
routes\routesEkoh.tsx,False,True,none
routes\routesEthikos.tsx,False,True,none
routes\routesKeenkonnect.tsx,True,True,none
routes\routesKonnected.tsx,False,True,none
routes\routesKreative.tsx,False,True,none
services\admin.ts,False,False,none
services\decide.mock.ts,False,False,none
services\decide.ts,False,False,none
services\deliberate.ts,False,False,none
services\impact.ts,False,False,none
services\learn.ts,False,False,none
services\pulse.ts,False,False,none
services\trust.ts,False,False,none
services\_request.ts,True,False,inserted
shared\api.ts,False,False,none
shared\downloadCsv.ts,True,False,inserted
shared\QueryProvider.tsx,True,True,none
tests\routes-tests.spec.ts,True,False,inserted
tests\routes.spec.ts,False,False,none
theme\cyberTheme.ts,False,False,none
theme\darkTheme.ts,False,False,none
theme\funkyTheme.ts,False,False,none
theme\index.ts,False,False,none
theme\kktheme.ts,False,False,none
theme\lightTheme.ts,False,False,none
theme\minimalTheme.ts,False,False,none
theme\modernTheme.ts,False,False,none
theme\oceanTheme.ts,False,False,none
theme\sunsetTheme.ts,False,False,none
_e2e\example.spec.ts,False,False,none
src\components\ThemeSwitcher.tsx,False,False,none
src\theme\cyberTheme.ts,False,False,none
src\theme\darkTheme.ts,False,False,none
src\theme\funkyTheme.ts,False,False,none
src\theme\index.ts,False,False,none
src\theme\kktheme.ts,False,False,none
src\theme\lightTheme.ts,False,False,none
src\theme\minimalTheme.ts,False,False,none
src\theme\modernTheme.ts,False,False,none
src\theme\oceanTheme.ts,False,False,none
src\theme\sunsetTheme.ts,False,False,none
src\components\CommonWidget\page.tsx,False,False,none
shared\layout\MainLayout.tsx,False,True,none
shared\services\admin.ts,False,False,none
shared\services\search.ts,False,False,none
modules\kreative\idea-incubator\my-ideas\components\CommonWidget\page.tsx,False,False,none
modules\kreative\idea-incubator\create-new-idea\components\CommonWidget\page.tsx,False,False,none
modules\kreative\idea-incubator\collaborate-on-ideas\components\CommonWidget\page.tsx,False,False,none
modules\kreative\dashboard\components\CommonWidget\page.tsx,False,False,none
modules\kreative\creative-hub\submit-creative-work\components\CommonWidget\page.tsx,False,False,none
modules\kreative\creative-hub\inspiration-gallery\components\CommonWidget\page.tsx,False,False,none
modules\kreative\creative-hub\explore-ideas\components\CommonWidget\page.tsx,False,False,none
modules\kreative\community-showcases\top-creators\components\CommonWidget\page.tsx,False,False,none
modules\kreative\community-showcases\submit-to-showcase\components\CommonWidget\page.tsx,False,False,none
modules\kreative\community-showcases\featured-projects\components\CommonWidget\page.tsx,False,False,none
modules\kreative\collaborative-spaces\start-new-space\components\CommonWidget\page.tsx,False,False,none
modules\kreative\collaborative-spaces\my-spaces\components\CommonWidget\page.tsx,False,False,none
modules\kreative\collaborative-spaces\find-spaces\components\CommonWidget\page.tsx,False,False,none
modules\kontact\components\index.ts,False,False,none
modules\kontact\components\OpportunityList.tsx,False,False,none
modules\kontact\components\ProfileCard.tsx,False,False,none
modules\kontact\hooks\index.ts,False,False,none
modules\kontact\hooks\useOpportunities.ts,False,False,none
modules\kontact\hooks\useProfiles.ts,False,False,none
modules\kontact\pages\ConnectCenter.tsx,False,False,none
modules\kontact\pages\index.ts,False,False,none
modules\kontact\pages\PublicProfile.tsx,False,False,none
modules\konsultations\components\ConsultationForm.tsx,False,False,none
modules\konsultations\components\ConsultationList.tsx,False,False,none
modules\konsultations\components\ConsultationVotePanel.tsx,False,False,none
modules\konsultations\components\ImpactTimeline.tsx,False,False,none
modules\konsultations\components\index.ts,False,False,none
modules\konsultations\components\ResultsChart.tsx,False,False,none
modules\konsultations\components\ResultsDashboard.tsx,False,False,none
modules\konsultations\components\SuggestionBoard.tsx,False,False,none
modules\konsultations\components\SuggestionsBoard.tsx,False,False,none
modules\konsultations\hooks\index.ts,False,False,none
modules\konsultations\hooks\useConsultation.ts,False,False,none
modules\konsultations\hooks\useConsultationResults.ts,False,False,none
modules\konsultations\hooks\useConsultations.ts,False,False,none
modules\konsultations\hooks\useConsultationVote.ts,False,False,none
modules\konsultations\hooks\useImpact.ts,False,False,none
modules\konsultations\hooks\useSuggestions.ts,False,False,none
modules\konsultations\pages\ConsultationDetailPage.tsx,False,False,none
modules\konsultations\pages\ConsultationHub.tsx,False,False,none
modules\konsultations\pages\ConsultationsHomePage.tsx,False,False,none
modules\konsultations\pages\index.ts,False,False,none
modules\konsultations\pages\ResultsPage.tsx,False,False,none
modules\konsultations\pages\SuggestionPage.tsx,False,False,none
modules\konsensus\components\index.ts,False,False,none
modules\konsensus\components\PollBarChart.tsx,False,True,none
modules\konsensus\components\VoteButtons.tsx,False,False,none
modules\konsensus\hooks\index.ts,False,False,none
modules\konsensus\hooks\useLivePoll.ts,True,False,inserted
modules\konsensus\hooks\usePoll.ts,False,False,none
modules\konsensus\pages\index.ts,False,False,none
modules\konsensus\pages\PollPage.tsx,False,True,none
modules\konnected\teams-collaboration\team-builder\components\CommonWidget\page.tsx,False,False,none
modules\konnected\teams-collaboration\project-workspaces\components\CommonWidget\page.tsx,False,False,none
modules\konnected\teams-collaboration\my-teams\components\CommonWidget\page.tsx,False,False,none
modules\konnected\teams-collaboration\activity-planner\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-paths\my-learning-path\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-paths\manage-existing-paths\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-paths\create-learning-path\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-library\search-filters\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-library\recommended-resources\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-library\offline-content\components\CommonWidget\page.tsx,False,False,none
modules\konnected\learning-library\browse-resources\components\CommonWidget\page.tsx,False,False,none
modules\konnected\dashboard\components\CommonWidget\page.tsx,False,False,none
modules\konnected\community-discussions\start-new-discussion\components\CommonWidget\page.tsx,False,False,none
modules\konnected\community-discussions\moderation\components\CommonWidget\page.tsx,False,False,none
modules\konnected\community-discussions\active-threads\components\CommonWidget\page.tsx,False,False,none
modules\konnected\certifications\exam-registration\components\CommonWidget\page.tsx,False,False,none
modules\konnected\certifications\exam-preparation\components\CommonWidget\page.tsx,False,False,none
modules\konnected\certifications\exam-dashboard-results\components\CommonWidget\page.tsx,False,False,none
modules\konnected\certifications\certification-programs\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\workspaces\my-workspaces\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\workspaces\launch-new-workspace\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\workspaces\browse-available-workspaces\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\user-reputation\view-reputation-ekoh\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\user-reputation\manage-expertise-areas\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\user-reputation\account-preferences\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\sustainability-impact\track-project-impact\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\sustainability-impact\sustainability-dashboard\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\sustainability-impact\submit-impact-reports\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\projects\project-workspace\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\projects\my-projects\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\projects\create-new-project\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\projects\browse-projects\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\knowledge\upload-new-document\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\knowledge\search-filter-documents\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\knowledge\document-management\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\knowledge\browse-repository\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\dashboard\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\ai-team-matching\my-matches\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\ai-team-matching\match-preferences\components\CommonWidget\page.tsx,False,False,none
modules\keenkonnect\ai-team-matching\find-teams\components\CommonWidget\page.tsx,False,False,none
modules\insights\components\DomainHeatMap.tsx,False,False,none
modules\insights\components\ErrorRateSparkline.tsx,False,True,none
modules\insights\components\ExportCSVButton.tsx,False,True,none
modules\insights\components\index.ts,False,False,none
modules\insights\components\LatencySLOGauge.tsx,False,True,none
modules\insights\components\SmartVoteChart.tsx,False,True,none
modules\insights\components\TimeRangePicker.tsx,False,True,none
modules\insights\components\UsageBigNumbers.tsx,False,False,none
modules\insights\hooks\index.ts,False,False,none
modules\insights\hooks\useReport.ts,False,False,none
modules\insights\hooks\useReportStream.ts,True,False,inserted
modules\insights\pages\CustomBuilderPage.tsx,False,True,none
modules\insights\pages\index.ts,False,False,none
modules\insights\pages\InsightsHomePage.tsx,False,False,none
modules\insights\pages\PerfDashboard.tsx,False,True,none
modules\insights\pages\SmartVoteDashboard.tsx,False,True,none
modules\insights\pages\UsageDashboard.tsx,False,True,none
modules\insights\hooks\__tests__\useReport.test.tsx,False,False,none
modules\insights\components\__stories__\SmartVoteChart.stories.tsx,False,False,none
modules\global\components\AppShell.tsx,False,False,none
modules\global\components\GlobalSearchBar.tsx,True,True,none
modules\global\components\index.ts,False,False,none
modules\global\hooks\index.ts,False,False,none
modules\global\hooks\useGlobalSearch.ts,False,False,none
modules\global\pages\index.ts,False,False,none
modules\global\pages\MyWork.tsx,False,True,none
modules\global\pages\Search.tsx,True,True,none
modules\ethikos\trust\badges\page.tsx,True,False,inserted
modules\ethikos\trust\credentials\page.tsx,True,True,none
modules\ethikos\trust\profile\page.tsx,True,False,inserted
modules\ethikos\pulse\health\page.tsx,True,False,inserted
modules\ethikos\pulse\live\page.tsx,True,False,inserted
modules\ethikos\pulse\overview\page.tsx,True,False,inserted
modules\ethikos\pulse\trends\page.tsx,True,False,inserted
modules\ethikos\learn\changelog\page.tsx,True,False,inserted
modules\ethikos\learn\glossary\page.tsx,True,True,none
modules\ethikos\learn\guides\page.tsx,True,False,inserted
modules\ethikos\impact\feedback\page.tsx,True,True,none
modules\ethikos\impact\outcomes\page.tsx,True,False,inserted
modules\ethikos\impact\tracker\page.tsx,True,False,inserted
modules\ethikos\deliberate\elite\page.tsx,True,True,none
modules\ethikos\deliberate\guidelines\page.tsx,True,False,inserted
modules\ethikos\deliberate\[topic]\page.tsx,True,True,none
modules\ethikos\decide\elite\page.tsx,True,False,inserted
modules\ethikos\decide\methodology\page.tsx,True,False,inserted
modules\ethikos\decide\public\page.tsx,True,True,none
modules\ethikos\decide\results\page.tsx,True,False,inserted
modules\ethikos\admin\audit\page.tsx,True,False,inserted
modules\ethikos\admin\moderation\page.tsx,True,False,inserted
modules\ethikos\admin\roles\page.tsx,True,False,inserted
modules\ekoh\voting-influence\current-voting-weight\components\CommonWidget\page.tsx,False,False,none
modules\ekoh\overview-analytics\current-ekoh-score\components\CommonWidget\page.tsx,False,False,none
modules\ekoh\expertise-areas\view-current-expertise\components\CommonWidget\page.tsx,False,False,none
modules\ekoh\dashboard\components\CommonWidget\page.tsx,False,False,none
modules\ekoh\achievements-badges\earned-badges-display\components\CommonWidget\page.tsx,False,False,none
modules\admin\components\index.ts,False,False,none
modules\admin\components\ModerationQueue.tsx,False,False,none
modules\admin\components\UserStats.tsx,False,True,none
modules\admin\hooks\index.ts,False,False,none
modules\admin\hooks\useModeration.ts,False,False,none
modules\admin\hooks\useStats.ts,False,False,none
modules\admin\pages\AdminConsole.tsx,False,True,none
modules\admin\pages\index.ts,False,False,none
ct\insights\SmartVoteChart.ct.tsx,False,False,none
components\activity-components\index.tsx,True,True,none
components\activity-components\RecentComments.tsx,False,False,none
components\activity-components\RecentLikes.tsx,False,False,none
components\activity-components\RecentVisits.tsx,False,False,none
components\activity-components\style.tsx,False,False,none
components\auth0-components\index.tsx,True,True,none
components\Button\Button.stories.tsx,False,False,none
components\Button\Button.tsx,False,False,none
components\charts\ChartCard.tsx,True,True,none
components\dashboard-components\CommentCard.tsx,False,False,none
components\dashboard-components\index.tsx,False,False,none
components\dashboard-components\LikeCard.tsx,False,False,none
components\dashboard-components\LineChart.tsx,True,True,none
components\dashboard-components\SculptureTable.tsx,True,True,none
components\dashboard-components\StatisticCard.tsx,False,False,none
components\dashboard-components\style.tsx,False,False,none
components\dashboard-components\UserCard.tsx,False,False,none
components\dashboard-components\UserPieChart.tsx,True,True,none
components\dashboard-components\VisitCard.tsx,False,False,none
components\layout-components\Drawer.tsx,False,True,none
components\layout-components\Header.tsx,True,True,none
components\layout-components\LogoTitle.tsx,False,True,none
components\layout-components\Main.tsx,False,True,none
components\layout-components\MainLayout.tsx,True,True,none
components\layout-components\Menu.tsx,True,True,none
components\layout-components\Sider.tsx,False,True,none
components\map-components\ControlPanel.tsx,False,False,none
components\map-components\index.tsx,False,False,none
components\map-components\Map.tsx,False,False,none
components\map-components\MapMarker.tsx,False,False,none
components\map-components\StaticMap.tsx,True,True,none
components\sculpture-maker-components\MakerList.tsx,True,True,none
components\sculpture-maker-components\SculptureGrid.tsx,True,True,none
components\sculpture-maker-components\style.tsx,False,False,none
components\shared\utils.tsx,False,False,none
components\Tooltip\Tooltip.tsx,False,True,none
components\user-components\index.tsx,True,True,none
components\user-components\style.tsx,False,False,none
components\user-components\UserComments.tsx,False,False,none
components\user-components\UserLikes.tsx,False,False,none
components\user-components\UserProfile.tsx,True,True,none
components\user-components\UserVisit.tsx,False,False,none
components\sculpture-maker-components\CreateForm\CreateFormTextFields.tsx,True,True,none
components\sculpture-maker-components\CreateForm\index.tsx,True,True,none
components\sculpture-maker-components\CreateForm\MakerCreate.tsx,True,True,none
components\sculpture-maker-components\CreateForm\SculptureCreate.tsx,True,True,none
components\sculpture-maker-components\CreateForm\SculptureUploadImage.tsx,True,True,none
components\sculpture-maker-components\EditForm\EditFormTextFields.tsx,True,True,none
components\sculpture-maker-components\EditForm\EditImage.tsx,True,True,none
components\sculpture-maker-components\EditForm\index.tsx,True,True,none
components\sculpture-maker-components\EditForm\MakerEdit.tsx,True,True,none
components\sculpture-maker-components\EditForm\SculptureEdit.tsx,True,True,none
components\sculpture-maker-components\SculptureDetail\index.tsx,True,True,none
components\sculpture-maker-components\SculptureDetail\SculptureComment.tsx,True,True,none
components\sculpture-maker-components\SculptureDetail\SculptureTrend.tsx,True,True,none
app\ekoh\layout.tsx,False,False,none
app\ethikos\layout.tsx,False,False,none
app\keenkonnect\layout.tsx,False,False,none
app\konnected\layout.tsx,False,False,none
app\konsensus\page.tsx,False,False,none
app\kreative\layout.tsx,False,False,none
app\kreative\dashboard\page.tsx,True,True,none
app\kreative\idea-incubator\collaborate-on-ideas\page.tsx,True,True,none
app\kreative\idea-incubator\create-new-idea\page.tsx,True,True,none
app\kreative\idea-incubator\my-ideas\page.tsx,True,True,none
app\kreative\creative-hub\explore-ideas\page.tsx,True,True,none
app\kreative\creative-hub\inspiration-gallery\page.tsx,True,True,none
app\kreative\creative-hub\submit-creative-work\page.tsx,True,True,none
app\kreative\community-showcases\featured-projects\page.tsx,True,True,none
app\kreative\community-showcases\submit-to-showcase\page.tsx,True,True,none
app\kreative\community-showcases\top-creators\page.tsx,True,True,none
app\kreative\collaborative-spaces\find-spaces\page.tsx,True,True,none
app\kreative\collaborative-spaces\my-spaces\page.tsx,True,True,none
app\kreative\collaborative-spaces\start-new-space\page.tsx,True,True,none
app\konnected\dashboard\page.tsx,False,True,none
app\konnected\teams-collaboration\activity-planner\page.tsx,False,True,none
app\konnected\teams-collaboration\my-teams\page.tsx,False,True,none
app\konnected\teams-collaboration\project-workspaces\page.tsx,True,True,none
app\konnected\teams-collaboration\team-builder\page.tsx,True,True,none
app\konnected\learning-paths\create-learning-path\page.tsx,True,True,none
app\konnected\learning-paths\manage-existing-paths\page.tsx,True,True,none
app\konnected\learning-paths\my-learning-path\page.tsx,True,True,none
app\konnected\learning-library\browse-resources\page.tsx,True,True,none
app\konnected\learning-library\offline-content\page.tsx,False,True,none
app\konnected\learning-library\recommended-resources\page.tsx,True,True,none
app\konnected\learning-library\search-filters\page.tsx,True,True,none
app\konnected\community-discussions\active-threads\page.tsx,True,True,none
app\konnected\community-discussions\moderation\page.tsx,True,True,none
app\konnected\community-discussions\start-new-discussion\page.tsx,True,True,none
app\konnected\certifications\certification-programs\page.tsx,False,True,none
app\konnected\certifications\exam-dashboard-results\page.tsx,False,True,none
app\konnected\certifications\exam-preparation\page.tsx,False,False,none
app\konnected\certifications\exam-registration\page.tsx,False,True,none
app\keenkonnect\dashboard\page.tsx,True,True,none
app\keenkonnect\workspaces\browse-available-workspaces\page.tsx,True,True,none
app\keenkonnect\workspaces\launch-new-workspace\page.tsx,True,True,none
app\keenkonnect\workspaces\my-workspaces\page.tsx,True,True,none
app\keenkonnect\user-reputation\account-preferences\page.tsx,True,True,none
app\keenkonnect\user-reputation\manage-expertise-areas\page.tsx,False,False,none
app\keenkonnect\user-reputation\view-reputation-ekoh\page.tsx,False,True,none
app\keenkonnect\sustainability-impact\submit-impact-reports\page.tsx,True,True,none
app\keenkonnect\sustainability-impact\sustainability-dashboard\page.tsx,True,True,none
app\keenkonnect\sustainability-impact\track-project-impact\page.tsx,True,True,none
app\keenkonnect\projects\browse-projects\page.tsx,True,True,none
app\keenkonnect\projects\create-new-project\page.tsx,True,True,none
app\keenkonnect\projects\my-projects\page.tsx,True,True,none
app\keenkonnect\projects\project-workspace\page.tsx,True,True,none
app\keenkonnect\knowledge\browse-repository\page.tsx,True,True,none
app\keenkonnect\knowledge\document-management\page.tsx,True,True,none
app\keenkonnect\knowledge\search-filter-documents\page.tsx,True,True,none
app\keenkonnect\knowledge\upload-new-document\page.tsx,True,True,none
app\keenkonnect\ai-team-matching\find-teams\page.tsx,True,True,none
app\keenkonnect\ai-team-matching\match-preferences\page.tsx,False,True,none
app\keenkonnect\ai-team-matching\my-matches\page.tsx,False,True,none
app\ethikos\trust\badges\page.tsx,True,False,inserted
app\ethikos\trust\credentials\page.tsx,True,True,none
app\ethikos\trust\profile\page.tsx,True,False,inserted
app\ethikos\pulse\health\page.tsx,True,True,none
app\ethikos\pulse\live\page.tsx,True,False,inserted
app\ethikos\pulse\overview\page.tsx,True,False,inserted
app\ethikos\pulse\trends\page.tsx,True,True,none
app\ethikos\learn\changelog\page.tsx,True,False,inserted
app\ethikos\learn\glossary\page.tsx,True,True,none
app\ethikos\learn\guides\page.tsx,True,False,inserted
app\ethikos\impact\feedback\page.tsx,True,True,none
app\ethikos\impact\outcomes\page.tsx,True,True,none
app\ethikos\impact\tracker\page.tsx,True,False,inserted
app\ethikos\deliberate\elite\page.tsx,True,True,none
app\ethikos\deliberate\guidelines\page.tsx,True,False,inserted
app\ethikos\deliberate\[topic]\page.tsx,True,True,none
app\ethikos\decide\elite\page.tsx,True,False,inserted
app\ethikos\decide\methodology\page.tsx,True,False,inserted
app\ethikos\decide\public\page.tsx,True,True,none
app\ethikos\decide\results\page.tsx,True,True,none
app\ethikos\admin\audit\page.tsx,True,False,inserted
app\ethikos\admin\moderation\page.tsx,True,False,inserted
app\ethikos\admin\roles\page.tsx,True,False,inserted
app\ekoh\dashboard\page.tsx,True,True,none
app\ekoh\voting-influence\current-voting-weight\page.tsx,True,False,inserted
app\ekoh\overview-analytics\current-ekoh-score\page.tsx,True,True,none
app\ekoh\expertise-areas\view-current-expertise\page.tsx,True,False,inserted
app\ekoh\achievements-badges\earned-badges-display\page.tsx,True,True,none
app\api\health\route.ts,False,False,none
app\api\search\route.ts,False,False,none
app\api\admin\moderation\route.ts,False,False,none
app\api\admin\stats\route.ts,False,False,none
